Week,Day,Date,Time,Winner/tie,visit,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
WildCard,Sat,January 7,4:35PM,Houston Texans,,Cincinnati Bengals,boxscore,31,10,340,0,300,3
WildCard,Sat,January 7,8:09PM,New Orleans Saints,,Detroit Lions,boxscore,45,28,626,2,412,2
WildCard,Sun,January 8,1:06PM,New York Giants,,Atlanta Falcons,boxscore,24,2,442,0,247,0
WildCard,Sun,January 8,4:40PM,Denver Broncos,,Pittsburgh Steelers,boxscore,29,23,447,1,400,1
Division,Sat,January 14,4:35PM,San Francisco 49ers,,New Orleans Saints,boxscore,36,32,407,1,472,5
Division,Sat,January 14,8:15PM,New England Patriots,,Denver Broncos,boxscore,45,10,509,2,252,1
Division,Sun,January 15,1:05PM,Baltimore Ravens,,Houston Texans,boxscore,20,13,227,0,315,4
Division,Sun,January 15,4:40PM,New York Giants,@,Green Bay Packers,boxscore,37,20,420,1,388,4
ConfChamp,Sun,January 22,3:05PM,New England Patriots,,Baltimore Ravens,boxscore,23,20,330,3,398,1
ConfChamp,Sun,January 22,6:41PM,New York Giants,@,San Francisco 49ers,boxscore,20,17,352,0,328,2
SuperBowl,Sun,February 5,6:30PM,New York Giants,N,New England Patriots,boxscore,21,17,396,0,349,1
